覆,"fù
Babylon has fallen; change; collapsed; cover; cover and prot"
普,"pǔ
Beth-tappuah; Japheth (name of Biblical figure); King Pua; N"
械,"xiè
bearing weapons; bronze weapons; device; devices; equipment;"
凶,"xiōng
act violently; acted cruelly; bad news; bad words; cruel peo"
赖,"lài
Alai (name); Gedaliah; Jethlai; Jorai; Kolaiah; Seraiah; Sha"
瞎,"xiā
blind; blind man; blind men; blind people; blind person; the"
碎,"suì
break into pieces; broken; broken grains; broken pieces; bro"
市,"shì
city street; in the market; market; market entrance; marketp"
配,"pèi
accompanied by; accompany; accompany with; accompanying; acc"
关,"guān
close; close the city gate; close the gates; closed; closes;"
刚,"gāng
diamond; hard; harden; hardened; just; just about to; just f"
貌,"mào
appearance; appearance and character; beautiful; beautiful i"
帖,"tiē
Book of Esther; Esther; Ether; First Thessalonians; Gether; "
锁,"suǒ
Gimzo; Hazo; Ramathaim-zophim; Suoan; Suoan (place name); Zo"
逼,"bī
compel; compelled; force; forced; oppress; oppression; perse"
腿,"tuǐ
beat thigh; became lame; both legs; by the leg; crippled; fa"
贪,"tān
be fond of sleeping; covet; coveted; covetous love; covetous"
翅,"chì
fins; flap wings; large wings; lift wings; no wings; wing; w"
藐,"miǎo
contempt; despise; despised; despises; scorn"
脂,"zhī
burn fat; fat; fat of rams; lamb fat; satiated with marrow a"
丰,"fēng
abundance; abundant; abundant and beautiful; abundant and de"
迹,"jì
bloodstains; footprints; footsteps; great signs; mark; marve"
逾,"yú
Passover; celebrate the Passover; cross over; observe Passov"
凌,"líng
bully; bully or oppress; bullying; dismember; humiliate; hum"
最,"zuì
best; fastest; greatest; highest; initial; most; most deserv"
损,"sǔn
as loss; be broken; be damaged; bruise; bruised and broken; "
薛,"xuē
Artaxerxes; Asiel; Beth-ezel (place name); Bopaxue; Bozez; H"
慎,"shèn
If your descendants are cautious themselves; be careful; be "
朋,"péng
close friends; companion; faction; friend; friends; good fri"
抢,"qiǎng
have you come to plunder; plunder; plundered; plundering; ro"
职,"zhí
duties; duty; each perform their duties; former position; fu"
扶,"fú
armrests; carry away; help; help up; helped; hold onto; hold"
毕,"bì
Bicar; Bithron; Magor-missabib; Tel-abib; after offering; al"
寿,"shòu
advanced in years; enjoy long life; enjoyed a lifespan; enjo"
耻,"chǐ
ashamed; disgrace; face without shame; mock; modesty; ridicu"
环,"huán
bit (for a horse); bronze rings; crescent ornaments; earring"
腓,"féi
Alphaeus; Caesarea Philippi; Diotrephes; Felix; Havilah; Pam"
奔,"bēn
come to; defect to; each go; each rushed; fled in defeat; fl"
筵,"yán
banquet; banquets; feast; festival; festival feast; grand fe"
恒,"héng
Bethlehem; Bethlehemite; Bethlehemites; Jashubi Lehem; alway"
跌,"diē
cause to fall; fall; fall away; fall backward; fall down; fe"
缘,"yuán
because of; because of the covenant; border; edge; for the s"
井,"jǐng
Lahairoi well; Sirah well; beside the well; by the well; dig"
戴,"dài
I wear; adorn; adorned with; can wear; carry; love and respe"
场,"chǎng
Gideon's threshing floor; a bout; a scene; a time; battlefie"
热,"rè
autumn heat; be zealous; burn; burn hot; burning; burning ho"
济,"jì
aid; aid the poor; alms; charity; deliver; give alms; give t"
