雹,"báo
great hail; great hailstones; hail; hail and snow; hail disa"
骇,"hài
amazed; astonished; be alarmed; frightened; horrified; horri"
绛,"jiàng
crimson; crimson color; crimson garments; deep red; scarlet;"
挡,"dǎng
block; buckler; hinder; hindrance; oppose; resist; shield; s"
况,"kuàng
circumstances; how much more; let alone; moreover; not to me"
辉,"huī
brightness; emit radiance; glory; radiance; shine brightly; "
蓄,"xù
accumulate; accumulated; contain; gather; save up; savings; "
岭,"lǐng
Mount Hermon; all hills; all the hills; high mountains; hill"
宁,"níng
Ashteroth-karnaim; Bela; Beth-nimrah; Engannim; Ham (name of"
误,"wù
accidentally crushed; delay; error; kill unintentionally; ma"
妒,"dù
envious; envy; jealous; jealousy"
嫉,"jí
envied; envious; envy; jealous; jealous and hateful; jealous"
防,"fáng
beware of; defend; garrison; garrison city; garrison soldier"
池,"chí
King's Pool; ancient pool; bathing pool; beside the pool of "
谦,"qiān
I make humble people; humble; humble and gentle; humble peop"
贼,"zéi
act as a thief; robbers; thief; thieves"
剿,"jiǎo
annihilate; completely exterminate; cut off; destroy; elimin"
拈,"niān
cast lots; draw; draw (in a lottery); draw lots; draw lots ("
元,"yuán
beginning; commander; first year; great-grandson; great-grea"
偃,"yǎn
fall prostrate; lie down; lying down; prostrate; recline; re"
谬,"miù
confused; crooked; deluded; deviate from; err; error; false;"
依,"yī
according to; according to this; approach; approach closely;"
补,"bǔ
compensate; complete; fill up; make up for; mend; mending ne"
斗,"dòu
Big Dipper; battle; box; bushel; checkered; checkered patter"
朝,"cháo
appear before; court attire; face; face towards; in the cour"
封,"fēng
appoint; appointed; close; fortify; measure word for letters"
习,"xí
accustomed to; adopt; customs; evil ways; habit; learn; lear"
匿,"nì
Dabir (name); Minnith; Nergal; Nibhaz; Senir; Tahpanhes; Tah"
嘴,"zuǐ
from the mouth; in his mouth; in mouth; in the mouth; kiss; "
屡,"lǚ
often; repeatedly; repeatedly add"
竭,"jié
dried up; dry up; exhausted; stopped; strive; with all one's"
刃,"rèn
axe blade; blade; blunt the edge; deadly sword; double-edged"
含,"hán
Gaham; Ham; Hamites; Laham; Shem (name); Shemite clan; Shoha"
拘,"jū
be trapped; bind; bound; confine; confined; control; detain;"
膝,"xī
before the knees; both knees; bow the knee; hyssop; knee; kn"
鼓,"gǔ
applaud; beat drums; beat the drum; bulb; drum; drumming; en"
苍,"cāng
beryl; chrysolite; firmament; flies; gray; gray-haired; heav"
借,"jiè
borrow; borrow grain; borrow money; borrowed; lend; lend mon"
骸,"hái
body; bones; bones and sinews; corpses; remains"
欠,"qiàn
debt; deficiency; deficient; fault; guilty; lack; not lackin"
荫,"yīn
dense shade; in the shade; overshadow; protect; protection; "
缮,"shàn
copy; copying; scribe; scribe's; scribes; write"
羡,"xiàn
Uzzen-sheerah; admire; desire; desire earnestly; envy; long "
泪,"lèi
shed tears; shedding tears; tears; tears streaming down chee"
蔽,"bì
blinded; choke; cover; cover guilt; cover oneself; cover the"
鞋,"xié
carry shoes; leather shoes; old shoes; shoe; shoe lace; shoe"
瓶,"píng
a bottle; a bottle of; alabaster flask; bottle; bottles; ear"
查,"chá
ascertained; cannot find; check; count; examine; find no; fo"
斤,"jīn
Ahim (name); Jachin; Jehoiachin; King Jehoiachin; catty (uni"
尾,"wěi
a few; be the tail; end; horse's tail; on the tail; stern of"
锅,"guō
full pot; in the pot; large pot; oil pot; pan; pan-cooked; p"
钩,"gōu
bronze hooks; fishhook; golden hooks; hook; hook away; hook "
沐,"mù
bathe; bathing; perfume; purify; wash"
图,"tú
covet; draw a map; draw and write; draw maps; drawn; intenti"
擒,"qín
arrest; capture; capture alive; captured; catch; seize; seiz"
遁,"dùn
disappear; escape; fled; flee; those who flee"
菜,"cài
bitter herbs; cumin; dish; green vegetables; leek; mustard; "
篾,"miè
Alemeth; Aram; Gomer; Hanamel; Hanamel (name); Hananel (name"
奶,"nǎi
abundant milk; butter; cheese; cheese cakes; churning milk; "
联,"lián
Talmon; associate; connect; connected; join together; league"
咬,"yǎo
bite; bite and injure; bite to death; bitten; bitten by a se"
江,"jiāng
rivers; rivers and lakes"
